url,type
"https://54bb87b962eaf1002d3b58b634796816.serveo.net",phishing
"https://differ-purple-realm-himself.trycloudflare.com/ ",phishing
https://www.facebook.com/,benign
https://www.instagram.com/,benign
"https://1156e43f566d172fa3ffd8e800403148.serveo.net ",phishing
"https://eb376b2931bcf3.lhr.life",phishing
"https://37d10173bee875.lhr.life",phishing
"https://blue-verified-facebook-free@54bb87b962eaf1002d3b58b634796816.serveo.net ",phishing
"https://blue-verified-facebook-free@54bb87b962eaf1002d3b58b634796816.serveo.net	" ,phishing
"nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526		",phishing
"www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php	,phishing
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/	",phishing
"mail.printakid.com/www.online.americanexpress.com/index.html	,phishing
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/	",phishing
"smilesvoegol.servebbs.org/voegol.php	,phishing
"premierpaymentprocessing.com/includes/boleto-2via-07-2012.php	",phishing
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php	,phishing
super1000.info/docs	",phishing
"horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b	",phishing
"phlebolog.com.ua/libraries/joomla/results.php	,phishing
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ	",phishing
"www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx	,phishing
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php	",phishing
"perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/	,phishing
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1	",phishing
"anonymeidentity.net/remax./remax.html,    ishing
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html	",phishing
"www.avedeoiro.com/site/plugins/chase/	,phishing
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/	",phishing
"www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/	,phishing
optimistic-pessimism.com/aoluserupdatealert.info.html",  phishing
"mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/	",phishing
"www.everythinggoingon.net/~gpeveryt/home/Email/		",phishing
